comment_sentiment_type,comment_sentiment_name,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_sentiment_ratio,overall_ratio
negative,差评,情绪共鸣,热血,2,5.4012,5.5,0.0009,0.0003
neutral,一般,人物关系,友情关系,3,5.3025,1.67,0.0013,0.0004
negative,差评,人物表演,人物单薄,1,4.9703,52.0,0.0004,0.0001
neutral,一般,节奏体验,节奏紧凑,1,3.7081,14.0,0.0004,0.0001
negative,差评,导演叙事,剪辑出色,1,3.4849,11.0,0.0004,0.0001
neutral,一般,画面声音,画面一般,1,3.1972,8.0,0.0004,0.0001
negative,差评,文化背景,日本语境,2,2.6931,0.5,0.0009,0.0003
neutral,一般,文化背景,社会群体,2,2.6931,0.5,0.0009,0.0003
negative,差评,画面声音,氛围感强,1,2.3863,3.0,0.0004,0.0001
negative,差评,观看体验,观看门槛,1,2.0986,2.0,0.0004,0.0001
neutral,一般,情绪共鸣,热血,1,2.0986,2.0,0.0004,0.0001
negative,差评,观看体验,重复观看,1,1.0,0.0,0.0004,0.0001
