movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
触不可及 Intouchables,positive,好评,剧情内容,结尾震撼,4,12288,34.1416,16,0.25
触不可及 Intouchables,positive,好评,剧情内容,剧情老套,2,2328,15.1686,16,0.125
触不可及 Intouchables,positive,好评,剧情内容,剧情反转,2,905,14.014,16,0.125
触不可及 Intouchables,positive,好评,剧情内容,剧情无聊,1,8109,10.0009,16,0.0625
触不可及 Intouchables,positive,好评,导演叙事,表达说教,1,2077,8.6392,2,0.5
触不可及 Intouchables,positive,好评,导演叙事,叙事优秀,1,654,7.4846,2,0.5
触不可及 Intouchables,positive,好评,情怀记忆,怀旧情怀,1,2077,8.6392,2,0.5
触不可及 Intouchables,positive,好评,情怀记忆,个人经历共鸣,1,627,7.4425,2,0.5
触不可及 Intouchables,positive,好评,情绪共鸣,感动,6,10225,46.3073,9,0.6667
触不可及 Intouchables,positive,好评,情绪共鸣,治愈,3,7954,25.1677,9,0.3333
触不可及 Intouchables,positive,好评,整体观感,好看推荐,8,12800,58.5974,9,0.8889
触不可及 Intouchables,positive,好评,整体观感,一般还行,1,6119,9.7193,9,0.1111
触不可及 Intouchables,positive,好评,文化背景,社会群体,5,11676,41.4756,5,1.0
触不可及 Intouchables,positive,好评,画面声音,配乐优秀,7,15885,57.6654,9,0.7778
触不可及 Intouchables,positive,好评,画面声音,氛围感强,1,529,7.2729,9,0.1111
触不可及 Intouchables,positive,好评,画面声音,画面优秀,1,251,6.5294,9,0.1111
触不可及 Intouchables,positive,好评,类型题材,喜剧效果,4,2911,29.5995,9,0.4444
触不可及 Intouchables,positive,好评,类型题材,爱情题材,2,4012,15.4012,9,0.2222
触不可及 Intouchables,positive,好评,类型题材,原著改编,2,2194,14.4099,9,0.2222
触不可及 Intouchables,positive,好评,类型题材,犯罪悬疑,1,3079,9.0327,9,0.1111
触不可及 Intouchables,positive,好评,节奏体验,节奏平淡,2,8270,16.0885,2,1.0
让子弹飞,negative,差评,主题价值,现实社会,3,483,18.0507,4,0.75
让子弹飞,negative,差评,主题价值,时代命运,1,137,5.9273,4,0.25
让子弹飞,negative,差评,争议感受,难以理解,2,420,12.2714,5,0.4
让子弹飞,negative,差评,争议感受,期待落差,2,144,10.5717,5,0.4
让子弹飞,negative,差评,争议感受,过誉,1,81,5.4067,5,0.2
让子弹飞,negative,差评,人物关系,人物命运,2,216,11.3093,6,0.3333
让子弹飞,negative,差评,人物关系,性别表达,2,117,10.1718,6,0.3333
让子弹飞,negative,差评,人物关系,爱情关系,2,117,10.1718,6,0.3333
让子弹飞,negative,差评,人物表演,角色鲜明,2,692,12.7572,8,0.25
让子弹飞,negative,差评,人物表演,台词经典,2,119,10.0956,8,0.25
让子弹飞,negative,差评,人物表演,演员加分,2,115,10.0443,8,0.25
让子弹飞,negative,差评,人物表演,表演尴尬,1,196,6.2832,8,0.125
让子弹飞,negative,差评,人物表演,人物单薄,1,59,5.0943,8,0.125
让子弹飞,negative,差评,剧情内容,结尾震撼,3,208,15.7215,10,0.3
让子弹飞,negative,差评,剧情内容,逻辑问题,3,206,15.5746,10,0.3
让子弹飞,negative,差评,剧情内容,剧情精彩,3,302,15.4646,10,0.3
让子弹飞,negative,差评,剧情内容,剧情无聊,1,59,5.0943,10,0.1
让子弹飞,negative,差评,导演叙事,表达晦涩,3,457,17.6907,6,0.5
让子弹飞,negative,差评,导演叙事,表达说教,1,196,6.2832,6,0.1667
让子弹飞,negative,差评,导演叙事,剪辑出色,1,79,5.382,6,0.1667
让子弹飞,negative,差评,导演叙事,镜头语言好,1,79,5.382,6,0.1667
让子弹飞,negative,差评,情怀记忆,个人经历共鸣,1,74,5.3175,1,1.0
